neighbourhood,area,rooms,parking,bathrooms,price,lat_value,lon_value,has_multiple_parking_spaces
Jardim Satélite,124.54,3,2,2,478750.0,-23.2629313,-45.8910605,1
Vila Ema,124.26,3,2,5,1540000.0,-23.2071612,-45.9009565,1
Vila Ema,124.79,3,2,3,1199000.0,-23.2071612,-45.9009565,1
Jardim América,124.12,3,2,2,580000.0,-23.2265205,-45.8968879,1
Palmeiras de São José,124.17,2,2,2,605000.0,-23.2351577,-45.9140475,1
Jardim América,124.97,2,1,2,440000.0,-23.2307302,-45.8975618,0
Jardim das Indústrias,124.41,2,1,2,427078.0,-23.2341234,-45.9256624,0
Conjunto Residencial Trinta e Um de Março,124.71,2,1,2,398000.0,-23.2502173,-45.9170663,0
Jardim Apolo I,124.81,1,1,1,237414.0,-23.1956647,-45.8937347,0
Conjunto Residencial Trinta e Um de Março,124.6,2,2,2,450000.0,-23.2436303,-45.9132175,1
Vila Ema,124.18,2,1,2,950000.0,-23.2092982,-45.9032947,0
Vila Adyana,124.44,4,3,5,3180000.0,-23.2002824,-45.8940021,1
Jardim América,124.33,2,1,2,395500.0,-23.2340199,-45.90173,0
Jardim América,124.21,2,1,2,360000.0,-23.2308616,-45.8942314,0
Loteamento Terra Brasilis,124.01,2,1,1,250000.0,-23.2456094,-45.824975,0
Conjunto Residencial Trinta e Um de Março,124.34,2,1,1,265000.0,-23.2349354,-45.9160047,0
Condomínio Residencial Colinas do Paratehy,124.9,3,2,3,439446.0,-23.1841579,-45.9547335,1
Vila Ema,124.68,4,3,5,1700000.0,-23.2071612,-45.9009565,1
Jardim das Indústrias,124.42,2,1,1,385000.0,-23.2341234,-45.9256624,0
Vila Ema,124.41,4,2,4,1250000.0,-23.2071612,-45.9009565,1
Jardim das Paineiras I,124.05,2,1,1,265000.0,-23.2082751,-45.7837267,0
Jardim Uirá,124.83,2,1,2,415000.0,-23.2112762,-45.8525394,0
Parque Residencial Flamboyant,124.68,2,1,2,375000.0,-23.218442,-45.850115,0
Conjunto Residencial Trinta e Um de Março,124.95,2,1,1,298000.0,-23.2349354,-45.9160047,0
Parque Industrial,124.49,3,2,2,550000.0,-23.2311239,-45.9066157,1
Jardim Apolo I,124.93,1,1,1,237414.0,-23.1956647,-45.8937347,0
